22C,
Longitud de onda,Absorbancia
3281.52055,-0.02042
3280.81256,-0.02042
3280.10458,-0.02042
3279.39659,-0.02042
3278.6886,-0.02042
3277.98061,-0.02043
3277.27263,-0.02043
3276.56464,-0.02043
3275.85665,-0.02044
3275.14867,-0.02044
3274.44068,-0.02044
3273.73269,-0.02044
3273.0247,-0.02044
3272.31672,-0.02043
3271.60873,-0.02043
3270.90074,-0.02042
3270.19276,-0.02042
3269.48477,-0.02041
3268.77678,-0.0204
3268.06879,-0.02039
3267.36081,-0.02038
3266.65282,-0.02036
3265.94483,-0.02035
3265.23685,-0.02034
3264.52886,-0.02033
3263.82087,-0.02031
3263.11288,-0.0203
3262.4049,-0.02029
3261.69691,-0.02028
3260.98892,-0.02026
3260.28094,-0.02025
3259.57295,-0.02025
3258.86496,-0.02024
3258.15697,-0.02023
3257.44899,-0.02023
3256.741,-0.02023
3256.03301,-0.02023
3255.32503,-0.02023
3254.61704,-0.02023
3253.90905,-0.02023
3253.20106,-0.02023
3252.49308,-0.02024
3251.78509,-0.02024
3251.0771,-0.02025
3250.36912,-0.02025
3249.66113,-0.02026
3248.95314,-0.02027
3248.24515,-0.02027
3247.53717,-0.02028
3246.82918,-0.02028
3246.12119,-0.02029
3245.4132,-0.0203
3244.70522,-0.0203
3243.99723,-0.02031
3243.28924,-0.02032
3242.58126,-0.02032
3241.87327,-0.02033
3241.16528,-0.02034
3240.45729,-0.02034
3239.74931,-0.02035
3239.04132,-0.02036
3238.33333,-0.02036
3237.62535,-0.02037
3236.91736,-0.02037
3236.20937,-0.02038
3235.50138,-0.02038
3234.7934,-0.02039
3234.08541,-0.02039
3233.37742,-0.02039
3232.66944,-0.0204
3231.96145,-0.0204
3231.25346,-0.0204
3230.54547,-0.0204
3229.83749,-0.0204
3229.1295,-0.0204
3228.42151,-0.02039
3227.71353,-0.02039
3227.00554,-0.02039
3226.29755,-0.02038
3225.58956,-0.02038
3224.88158,-0.02037
3224.17359,-0.02037
3223.4656,-0.02036
3222.75762,-0.02035
3222.04963,-0.02034
3221.34164,-0.02034
3220.63365,-0.02033
3219.92567,-0.02032
3219.21768,-0.02031
3218.50969,-0.02029
3217.80171,-0.02028
3217.09372,-0.02027
3216.38573,-0.02025
3215.67774,-0.02023
3214.96976,-0.02021
3214.26177,-0.02019
3213.55378,-0.02017
3212.84579,-0.02015
3212.13781,-0.02012
3211.42982,-0.0201
3210.72183,-0.02007
3210.01385,-0.02004
3209.30586,-0.02001
3208.59787,-0.01998
3207.88988,-0.01995
3207.1819,-0.01992
3206.47391,-0.01989
3205.76592,-0.01986
3205.05794,-0.01982
3204.34995,-0.01979
3203.64196,-0.01976
3202.93397,-0.01972
3202.22599,-0.01969
3201.518,-0.01965
3200.81001,-0.01962
3200.10203,-0.01959
3199.39404,-0.01955
3198.68605,-0.01952
3197.97806,-0.01949
3197.27008,-0.01946
3196.56209,-0.01943
3195.8541,-0.0194
3195.14612,-0.01937
3194.43813,-0.01933
3193.73014,-0.0193
3193.02215,-0.01927
3192.31417,-0.01924
3191.60618,-0.01921
3190.89819,-0.01917
3190.19021,-0.01914
3189.48222,-0.0191
3188.77423,-0.01906
3188.06624,-0.01902
3187.35826,-0.01897
3186.65027,-0.01893
3185.94228,-0.01888
3185.2343,-0.01883
3184.52631,-0.01877
3183.81832,-0.01872
3183.11033,-0.01866
3182.40235,-0.0186
3181.69436,-0.01854
3180.98637,-0.01847
3180.27838,-0.01841
